"name","iata_code","icao_code","callsign","country","active","headquarters","founded","fleet_size","destinations","alliance"
"Alba Servizi Aerotrasporti","","AFQ","ALBA","Italy",false,,,,,
"Air France","AF","AFR","AIRFRANS","France",true,,,,,
"Air Partner","","ACG","AIR PARTNER","United Kingdom",false,,,,,
"Air Caledonie International","SB","ACI","AIRCALIN","France",true,,,,,
"Air Caledonia","","ACM","WEST CAL","Canada",false,,,,,
"Air Guam","","AGM","AIR GUAM","United States",false,,,,,
"Air Gabon","GN","AGN","GOLF NOVEMBER","Gabon",true,,,,,
"Air Data","","AFS","","United Kingdom",false,,,,,
"Air Afrique Vacancies","","AFV","AFRIQUE VACANCE","Ivory Coast",false,,,,,
"Air Cargo America","","MVM","PEGASUS","United States",false,,,,,
"Air Salone","2O","","","Sierra Leone",true,,,,,
"Air-Angol","","NGO","AIR ANGOL","Angola",false,,,,,
"Air Nigeria","","NGP","REGAL EAGLE","Nigeria",false,,,,,
"Air Cargo Carriers","2Q","SNC","NIGHT CARGO","United States",true,,,,,
"Air Samarkand","","SND","ARSAM","Uzbekistan",false,,,,,
"Air Senegal International","V7","SNG","AIR SENEGAL","Senegal",true,,,,,
"Air Sandy","","SNY","AIR SANDY","Canada",false,,,,,
"Air Namibia","SW","NMB","NAMIBIA","Namibia",true,,,,,
"Air Intersalonika","","NSK","INTERSALONIKA","Greece",false,,,,,
"Air Anatolia","","NTL","AIR ANATOLIA","Turkey",false,,,,,
"Air Saigon","","SGA","AIR SAIGON","Vietnam",false,,,,,
"Afrique Regional Airways","","AFW","AFRAIR","Ivory Coast",false,,,,,
"Airfreight Express","","AFX"," ","United Kingdom",false,,,,,
"Africa Chartered Services","","AFY","AFRICA CHARTERED","Nigeria",false,,,,,
"Africa Freight Services","","AFZ","AFREIGHT","Zambia",false,,,,,
"Aeronaves Del Centro","","AGA","","Venezuela",false,,,,,
"Air Service Gabon","G8","AGB","ENKOR","Gabon",false,,,,,
"Arab Agricultural Aviation Company","","AGC","AGRICO","Egypt",false,,,,,
"Atlantic Gulf Airlines","","AGF","ATLANTIC GULF","United States",false,,,,,
"Aerolitoral","5D","SLI","COSTERA","Mexico",true,,,,,
"Algoma Airways","","AGG","ALGOMA","Canada",false,,,,,
"Altagna","","AGH","ALTAGNA","France",false,,,,,
"Angola Air Charter","","AGO","ANGOLA CHARTER","Angola",false,,,,,
"AERFI Group","","AGP","AIR TARA","Ireland",false,,,,,
"Aerogala","","AGQ","GALASERVICE","Chile",false,,,,,
"Amadeus Global Travel Distribution","1A","AGT","AMADEUS","Spain",false,,,,,
"Angara Airlines","","AGU","SARMA","Russia",false,,,,,
"Air Glaciers","7T","AGV","AIR GLACIERS","Switzerland",false,,,,,
"Aero Gambia","","AGW","AERO GAMBIA","Gambia",false,,,,,
"Aviogenex","","AGX","GENEX","Serbia",true,,,,,
"Atlantic Coast Airlines","","BLR","BLUE RIDGE","United States",false,,,,,
"Aero Barloz","","BLZ","AEROLOZ","Mexico",false,,,,,
"Aeroper","PL","PLI","Aeroperu","Peru",false,,,,,
"Atlas Blue","8A","BMM","ATLAS BLUE","Morocco",true,,,,,
"Aero Banobras","","BNB","AEROBANOBRAS","Mexico",false,,,,,
"Aero Flight Service","","AGY","FLIGHT GROUP","United States",false,,,,,
"Agrolet-Mci","","AGZ","AGROLET","Slovakia",false,,,,,
"Air Alpha Greenland","GD","AHA","AIR ALPHA","Denmark",false,,,,,
"Azal Avia Cargo","","AHC","AZALAVIACARGO","Azerbaijan",false,,,,,
"Airport Helicopter Basel","","AHE"," Muller & Co.","AIRPORT HELICOPTER",false,,,,,
"Aeroservices Corporate","","CJE","BIRD JET","France",false,,,,,
"Aspen Helicopters","","AHF","ASPEN","United States",false,,,,,
"Aerochago Airlines","","AHG","AEROCHAGO","Dominican Republic",false,,,,,
"Airplanes Holdings","","AHH","AIRHOLD","Ireland",false,,,,,
